"","40%","80%"
"Jan",0.2,0.6
"Feb",0.4,0.7
"Mar",0.5,1
"Apr",0.6,0.8
"May",0.3,1.2
"Jun",0.3,0.7
"Jul",0.3,0.9
"Aug",0.3,0.6
"Sep",0.2,0.6
"Oct",0.2,0.3
"Nov",0.3,0.5
"Dec",0.3,0.6
