"","40%","80%"
"Jan",4.3,7.9
"Feb",3.2,8.7
"Mar",3.4,9.7
"Apr",2.9,5.9
"May",0.8,4.1
"Jun",3.9,6.2
"Jul",4.4,7.9
"Aug",3.3,7
"Sep",1.9,8
"Oct",2.1,4.6
"Nov",3.4,8.4
"Dec",2.3,4.2
