"","50%","90%"
"Jan",0.0165,0.0415
"Feb",0.0309,0.0462
"Mar",0.0132,0.0481
"Apr",0.0196,0.0431
"May",0.0134,0.0264
"Jun",0.0129,0.0291
"Jul",0.0123,0.0315
"Aug",0.0219,0.0321
"Sep",0.0103,0.0338
"Oct",0.0172,0.0232
"Nov",0.0158,0.0312
"Dec",0.0161,0.0381
