"","V1","V2"
"40%",0.0754545454545455,0.55
"80%",0.469090909090909,1.5
"40%",0.0081060606060606,0.408333333333333
"80%",0.0315151515151515,0.833333333333333
"40%",0.0147727272727273,0.325
"80%",0.0571969696969697,0.708333333333333
