"","40%","80%"
"Jan",4,8.4
"Feb",4.2,6.8
"Mar",3.3,10.2
"Apr",3.1,7.3
"May",4,8.1
"Jun",4.5,8.5
"Jul",6.2,9.7
"Aug",7.2,11.4
"Sep",5,7.8
"Oct",2.9,8.9
"Nov",4.7,9.9
"Dec",3.8,8.2
