"","40%","80%"
"Jan",3.6,8.1
"Feb",3.7,9.7
"Mar",3.4,9.8
"Apr",2.3,6.4
"May",4.1,7.8
"Jun",3.7,9.6
"Jul",4.8,11.4
"Aug",5.5,11.2
"Sep",3.8,9.7
"Oct",2.4,7.9
"Nov",3.9,8.1
"Dec",4.2,8.7
