"","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12"
"2022",-0.5,NA,-0.4,-1.2,-0.3,-1.6,0.5,-1.7,-1.1,-0.9,-1.2,0,-1.7,-1.1,-1.9,-0.6,-0.9,-0.9,-0.1,0.1,-0.4,-0.5,-0.7,-0.9
"2023",-1.2,-0.3,-1,-2.3,-1.1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
