"","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12"
"2016",-0.2,-0.3,0.4,0.2,0.5,0.6,1.1,0,1.6,1.2,1.1,3.4,1.3,1.7,0.3,1,-0.1,-0.5,0.4,-0.7,-0.2,0,-0.2,-0.4
"2017",0.8,0.8,-0.6,-0.9,-1.4,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
