"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"2023,10,2,,O-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,11,1,,N-1,N",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,11,2,,N-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,12,1,,D-1,D",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,12,2,,D-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,2,1,0.60139,F-1,F",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,2,2,0.51857,F-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,3,1,0.58286,M-1,M",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,3,2,0.58401,M-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,4,1,0.60215,A-1,A",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,4,2,0.6031,A-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,5,1,0.6077,M-1,M",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,5,2,0.6111,M-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,6,1,0.63,Jn-1,J",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,6,2,0.6293,Jn-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,7,1,0.597,Jl-1,J",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,7,2,,Jl-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,8,1,,A-1,A",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,8,2,,A-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023,9,1,,S-1,S",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023,9,2,,S-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
