"","50%","90%"
"Jan",0.043,0.0997
"Feb",0.0431,0.1054
"Mar",0.0298,0.0565
"Apr",0.032,0.1002
"May",0.0369,0.0757
"Jun",0.0501,0.0581
"Jul",0.0256,0.05
"Aug",0.0261,0.0728
"Sep",0.039,0.0579
"Oct",0.019,0.0543
"Nov",0.017,0.0891
"Dec",0.0324,0.0462
