"","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12"
"2022",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2023",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,-0.0313,-0.033,-0.0241,-0.0169,NA,NA,NA,NA,NA,NA,NA,NA
