"","40%","80%"
"Jan",0.4,0.8
"Feb",0.4,1.1
"Mar",0.5,1.2
"Apr",0.4,1
"May",0.4,1.1
"Jun",0.4,1
"Jul",0.4,1.2
"Aug",0.4,1
"Sep",0.3,0.6
"Oct",0.2,0.6
"Nov",0.3,0.6
"Dec",0.4,0.8
