"","50%","90%"
"Jan",0.0176,0.041
"Feb",0.0187,0.0385
"Mar",0.0103,0.0425
"Apr",0.0171,0.0339
"May",0.0174,0.0409
"Jun",0.0046,0.0295
"Jul",0.0164,0.0266
"Aug",0.0168,0.0272
"Sep",0.0235,0.0414
"Oct",0.0265,0.0365
"Nov",0.0173,0.0439
"Dec",0.019,0.0348
