"","40%","80%"
"Jan",2.9,12
"Feb",4.1,6.4
"Mar",4.8,8.2
"Apr",1.9,7.6
"May",5.8,8.7
"Jun",1.9,7.2
"Jul",5.2,8
"Aug",7.1,11.8
"Sep",4.2,8
"Oct",2.8,7.7
"Nov",5.1,8.8
"Dec",4.2,7.6
