"","V1","V2"
"40%",7.36568181818182,4.725
"80%",12.7418181818182,11
"40%",2.09113636363636,4.225
"80%",2.03606060606061,8.28333333333333
"40%",1.47840909090909,3.025
"80%",3.51537878787879,7.04166666666667
