"","40%","80%"
"Jan",0.2,0.6
"Feb",0.3,1
"Mar",0.6,1.1
"Apr",0.4,0.8
"May",0.4,1
"Jun",0.5,1
"Jul",0.5,1
"Aug",0.4,1
"Sep",0.2,0.5
"Oct",0.3,0.5
"Nov",0.3,0.6
"Dec",0.4,0.7
