"","40%","80%"
"Jan",0.4,0.8
"Feb",0.5,1
"Mar",0.6,1.1
"Apr",0.4,0.8
"May",0.3,0.9
"Jun",0.5,1
"Jul",0.4,1
"Aug",0.4,1
"Sep",0.2,0.5
"Oct",0.2,0.6
"Nov",0.3,0.7
"Dec",0.4,1
