"","40%","80%"
"Jan",0.5,1.8
"Feb",0.7,1.6
"Mar",1.1,1.5
"Apr",0.7,1.1
"May",0.6,1.4
"Jun",0.9,1.3
"Jul",0.8,1.2
"Aug",0.8,1.4
"Sep",0.5,1
"Oct",0,0.6
"Nov",0.3,0.4
"Dec",0.3,0.7
