"","40%","80%"
"Jan",4.9,7.4
"Feb",3.6,9.1
"Mar",2.8,10.1
"Apr",2.8,6.2
"May",0.8,4.3
"Jun",4.1,6.7
"Jul",4.4,8.4
"Aug",3.3,6.6
"Sep",1.7,7.8
"Oct",1.7,4.9
"Nov",3.7,8.6
"Dec",2.5,4.4
