Month;Year;FC
6;2009;0.6739
7;2009;0.6588
8;2009;0.6489
9;2009;0.6554
10;2009;0.6856
11;2009;0.6737
12;2009;0.689
1;2010;0.6571
2;2010;0.6325
3;2010;0.657
4;2010;0.7021
5;2010;0.6774
6;2010;0.6661
7;2010;0.6393
8;2010;0.6509
9;2010;0.6317
10;2010;0.6481
11;2010;0.6769
12;2010;0.6973
1;2011;0.7082
2;2011;0.6882
3;2011;0.6639
4;2011;0.6466
5;2011;0.6615
6;2011;0.6226
7;2011;0.628
8;2011;0.6104
9;2011;0.6549
10;2011;0.6696
11;2011;0.6877
12;2011;0.6912
1;2012;0.6974
2;2012;0.691
3;2012;0.6863
4;2012;0.6516
5;2012;0.6517
6;2012;0.6635
7;2012;0.6401
8;2012;0.6729
9;2012;0.6342
10;2012;0.6272
11;2012;0.6658
12;2012;0.6636
1;2013;0.6567
2;2013;0.6408
3;2013;0.6409
4;2013;0.6954
5;2013;0.6627
6;2013;0.6443
7;2013;0.6476
8;2013;0.6475
9;2013;0.6692
10;2013;0.6748
11;2013;0.6542
12;2013;0.6857
1;2014;0.732
2;2014;0.6684
3;2014;0.713
4;2014;0.6788
5;2014;0.6708
6;2014;0.6343
7;2014;0.6118
8;2014;0.6265
9;2014;0.6273
10;2014;0.6541
11;2014;0.6949
12;2014;0.719
1;2015;0.6891
2;2015;0.6484
3;2015;0.6449
4;2015;0.6164
5;2015;0.6452
6;2015;0.6302
7;2015;0.6297
8;2015;0.6016
9;2015;0.6428
10;2015;0.6563
11;2015;0.6578
12;2015;0.666
1;2016;0.679
2;2016;0.6936
3;2016;0.6829
4;2016;0.6765
5;2016;0.7024
6;2016;0.7065
7;2016;0.686
8;2016;0.6414
9;2016;0.644
10;2016;0.6599
11;2016;0.6869
12;2016;0.6776
1;2017;0.6925
2;2017;0.6425
3;2017;0.6077
4;2017;0.64
5;2017;0.6445
6;2017;0.6395
7;2017;0.6291
8;2017;0.6025
9;2017;0.6162
10;2017;0.6288
11;2017;0.6819
12;2017;0.7072
1;2018;0.6968
2;2018;0.6992
3;2018;0.6571
4;2018;0.6879
5;2018;0.693
6;2018;0.6731
7;2018;0.654
8;2018;0.6209
9;2018;0.6254
10;2018;0.6644
11;2018;0.6662
12;2018;0.6667
1;2019;0.6363
2;2019;0.61
3;2019;0.652
4;2019;0.6697
5;2019;0.676
6;2019;0.6632
7;2019;0.6738
8;2019;0.6526
9;2019;0.6396
10;2019;0.6453
11;2019;0.6863
12;2019;0.6868
1;2020;0.6647
2;2020;0.6351
3;2020;0.6308
4;2020;0.6628
5;2020;0.6646
6;2020;0.6475
7;2020;0.6499
8;2020;0.6502
9;2020;0.636
10;2020;0.6679
11;2020;0.6931
12;2020;0.7194
1;2021;0.6923
2;2021;0.6963
3;2021;0.6613
4;2021;0.6309
5;2021;0.6504
6;2021;0.6511
7;2021;0.6331
8;2021;0.6045
9;2021;0.6145
10;2021;0.6329
11;2021;0.6381
12;2021;0.656
1;2022;0.6535
2;2022;0.5992
3;2022;0.6056
4;2022;0.6159
5;2022;0.6458
6;2022;0.6497
