year;month;igs;Niño;Niña
2009;8;5.1;1;
2009;9;5.84;1;
2009;10;5.62;;
2009;11;5.36;;
2009;12;5.37;;
2010;1;4.66;;
2010;2;3.68;;
2010;3;3.39;;
2010;4;2.6;;
2010;5;2.94;;
2010;6;3.4;;
2010;7;4.91;;
2010;8;5.86;;2
2010;9;6.09;;2
2010;10;5.95;;2
2010;11;5.62;;2
2010;12;6.15;;
2011;1;5.75;;
2011;2;4.61;;
2011;3;4.17;;
2011;4;2.72;;
2011;5;1.8;;
2011;6;1.85;;
2011;7;2.77;;
2011;8;3.95;;
2011;9;6.15;;
2011;10;6.12;;
2011;11;5.21;;
2011;12;4.86;;
2012;1;5.34;;
2012;2;4.8;;
2012;3;3.96;1;
2012;4;2.8;1;
2012;5;1.54;1;
2012;6;2.67;1;
2012;7;3.43;1;
2012;8;5.41;;
2012;9;6.2;;
2012;10;6.06;;
2012;11;5.92;;
2012;12;6.08;;
2013;1;5.06;;
2013;2;4.18;;
2013;3;5.12;;
2013;4;3.7;;3
2013;5;2.44;;3
2013;6;2.59;;3
2013;7;5.29;;3
2013;8;6.14;;3
2013;9;6.79;;
2013;10;6.32;;
2013;11;5.61;;
2013;12;5.57;;
2014;1;5.62;;
2014;2;5.63;;
2014;3;5.59;;
2014;4;3.49;;
2014;5;1.45;1;
2014;6;2.22;1;
2014;7;4.21;1;
2014;8;5.18;1;
2014;9;6.31;1;
2014;10;6.14;1;
2014;11;6.03;1;
2014;12;5.98;;
2015;1;5.62;;
2015;2;5.26;;
2015;3;4.14;;
2015;4;2.8;3;
2015;5;1.81;3;
2015;6;2.34;3;
2015;7;3.48;3;
2015;8;4.34;;
2015;9;5.37;;
2015;10;5.36;;
2015;11;5.35;;
2015;12;5.02;;
2016;1;5.02;;
2016;2;5.17;;
2016;3;5.14;;
2016;4;3.9;;
2016;5;4.49;;
2016;6;4.35;;
2016;7;5.8;;
2016;8;5.9;;
2016;9;6.2;;
2016;10;6.5;;
2016;11;5.62;;
2016;12;5.2;2;
2017;1;6.1;2;
2017;2;4.4;2;
2017;3;3.2;2;
2017;4;2.8;2;
2017;5;2.7;2;
2017;6;3.08;;
2017;7;4.4;;
2017;8;5.49;;
2017;9;5.7;;
2017;10;6.3;;
2017;11;6.1;;1
2017;12;5.7;;1
2018;1;5.48;;1
2018;2;5.09;;1
2018;3;4.98;;1
2018;4;4.18;;
2018;5;3.1;;
2018;6;2.13;;
2018;7;4.23;;
2018;8;5.7;;
2018;9;6.2;;
2018;10;5.86;;
2018;11;4.82;1;
2018;12;4.4;1;
2019;1;4.04;1;
2019;2;4.07;1;
2019;3;5.3;1;
2019;4;4.2;;
2019;5;3.5;;
2019;6;3.2;;
2019;7;4.1;;
2019;8;5.3;;
2019;9;6.82;;
2019;10;6.13;;
2019;11;6.02;;
2019;12;5.9;;
2020;1;5.2;;
2020;2;4.9;;
2020;3;3.6;;
2020;4;2.3;;
2020;5;2.74;;
2020;6;2.85;;
2020;7;4.5;;
2020;8;5.9;;
2020;9;6;;
2020;10;6;;
2020;11;5.4;;
2020;12;5.3;;
2021;1;5.6;;
2021;2;4.9;;
2021;3;4.4;;
2021;4;3.3;;
2021;5;2.4;;
2021;6;2.3;;
2021;7;2.8;;
2021;8;5.1;;
2021;9;6;;
2021;10;5.6;;
2021;11;5.2;;
2021;12;4.99;;
2022;1;5.1;;
2022;2;4.6;;
2022;3;3.4;;
2022;4;2.56;;
2022;5;2.03;;
2022;6;2.08;;
2022;7;3.17;;
2022;8;4.4;;
2022;9;5.15;;
2022;10;5.89;;
2022;11;5.19;;
2022;12;4.78;;
2023;1;4.6;;
2023;2;3.53;;
2023;3;3.49;;
