;1;2;3;4;5;6;7;8;9;10;11;12
patron_92_99;16.04916976;17.03913043;16.81991342;11.50699088;16.24397236;15.70193613;27.75692019;29.95578704;33.68558656;27.87457259;24.27791159;21.59793177
patron_00_11;25.09166667;24.05;14.75;10.075;10.31666667;9.466666667;18.15833333;22.65;29.37;28.9;23.01666667;25.375
patron_12_20;15.02;16.32;14.08;10.02;5.35;7.11;13.73;23.75;32.22;27.83;21.24;13.88
