year;month;QUINCENA;IGS;Labels
2022;1;1;4.78;E22-1
2022;1;2;;E-2
2022;2;1;4.44;F-1
2022;2;2;3.62;F-2
2022;3;1;4.34;M-1
2022;3;2;3.05;M-2
2022;4;1;3.94;A-1
2022;4;2;1.77;A-2
2022;5;1;1.72;M-1
2022;5;2;1.84;M-2
2022;6;1;1.67;Jn-1
2022;6;2;2.83;Jn-2
2022;7;1;2.77;Jl-1
2022;7;2;3.37;Jl-2
2022;8;1;3.57;A-1
2022;8;2;4.88;A-2
2022;9;1;5.27;S-1
2022;9;2;5.25;S-2
2022;10;1;6.01;O-1
2022;10;2;6.13;O-2
2022;11;1;5.18;N-1
2022;11;2;5.12;N-2
2022;12;1;4.73;D-1
2022;12;2;4.53;D-2
2023;1;1;4.02;E23-1
2023;1;2;4.94;E-2
2023;2;1;3.86;F-1
2023;2;2;2.52;F-2
2023;3;1;3.56;M-1
2023;3;2;4.58;M-2
2023;4;1;;A-1
2023;4;2;;A-2
2023;5;1;;M-1
2023;5;2;;M-2
2023;6;1;;Jn-1
2023;6;2;;Jn-2
2023;7;1;;Jl-1
2023;7;2;;Jl-2
2023;8;1;;A-1
2023;8;2;;A-2
2023;9;1;;S-1
2023;9;2;;S-2
2023;10;1;;O-1
2023;10;2;;O-2
2023;11;1;;N-1
2023;11;2;;N-2
2023;12;1;;D-1
2023;12;2;;D-2
